kpos data fit err
3.46973 4.73239 4.62129 0.1111
3.47123 4.62218 4.62129 0.00089
3.47273 4.36072 4.62129 -0.26057
3.47423 4.31593 4.62129 -0.30536
3.47573 4.71615 4.62129 0.09486
3.47723 4.59451 4.62129 -0.02678
3.47873 4.79954 4.62129 0.17825
3.48023 4.75379 4.62129 0.1325
3.48173 4.84335 4.62129 0.22206
3.48323 4.71564 4.62129 0.09435
3.48473 4.73818 4.62129 0.11689
3.48623 4.39168 4.62129 -0.22961
3.48773 5.1224 4.62129 0.50111
3.48923 5.04114 4.62129 0.41985
3.49073 4.45296 4.62129 -0.16833
3.49223 4.80364 4.62129 0.18235
3.49373 5.03105 4.62129 0.40976
3.49523 4.9483 4.62129 0.32701
3.49673 4.69858 4.62129 0.07729
3.49823 4.58686 4.62129 -0.03443
3.49973 5.06064 4.62129 0.43935
3.50123 4.98498 4.62129 0.36369
3.50273 4.36503 4.62129 -0.25626
3.50423 4.94606 4.62129 0.32477
3.50573 4.77881 4.62129 0.15752
3.50723 4.8174 4.62129 0.19611
3.50873 4.56459 4.62129 -0.0567
3.51023 4.58945 4.62129 -0.03184
3.51173 4.52003 4.62129 -0.10126
3.51323 4.63883 4.62129 0.01754
3.51473 4.98716 4.62129 0.36587
3.51623 4.68902 4.62129 0.06773
3.51773 4.73526 4.62129 0.11397
3.51923 4.73513 4.62129 0.11384
3.52073 4.87522 4.62129 0.25393
3.52223 4.78873 4.62129 0.16744
3.52373 4.34772 4.62129 -0.27357
3.52523 5.03292 4.62129 0.41163
3.52673 4.33238 4.62129 -0.28891
3.52823 4.92538 4.62129 0.30409
3.52973 5.01829 4.62129 0.397
3.53123 4.48403 4.62129 -0.13726
3.53273 4.7029 4.62129 0.08161
3.53423 4.59933 4.62129 -0.02196
3.53573 5.16138 4.62129 0.54009
3.53723 4.89905 4.62129 0.27776
3.53873 4.62515 4.62129 0.00386
3.54023 4.72885 4.62129 0.10756
3.54173 4.97966 4.62129 0.35837
3.54323 4.35621 4.62129 -0.26508
3.54473 4.6444 4.62129 0.02311
3.54623 4.46031 4.62129 -0.16098
3.54773 4.74605 4.62129 0.12476
3.54923 4.77571 4.62129 0.15442
3.55073 4.61455 4.62129 -0.00674
3.55223 4.50749 4.62129 -0.1138
3.55373 4.4179 4.62129 -0.20339
3.55523 4.62989 4.62129 0.0086
3.55673 4.73626 4.62129 0.11497
3.55823 5.16029 4.62129 0.539
3.55973 4.9394 4.62129 0.31811
3.56123 4.6786 4.62129 0.05731
3.56273 4.78186 4.62129 0.16057
3.56423 5.12532 4.62129 0.50403
3.56573 5.13332 4.62129 0.51203
3.56723 5.19591 4.62129 0.57462
3.56873 4.83458 4.62129 0.21329
3.57023 4.85403 4.62129 0.23274
3.57173 4.72535 4.62129 0.10406
3.57323 4.8059 4.62129 0.18461
3.57473 4.6083 4.62129 -0.01299
3.57623 4.39731 4.62129 -0.22398
3.57773 4.81598 4.62129 0.19469
3.57923 4.51672 4.62129 -0.10457
3.58073 4.81178 4.62129 0.19049
3.58223 4.95235 4.62129 0.33106
3.58373 4.5035 4.62129 -0.11779
3.58523 4.72843 4.62129 0.10714
3.58673 4.74222 4.62129 0.12093
3.58823 5.04707 4.62129 0.42578
3.58973 4.52815 4.62129 -0.09314
3.59123 4.54827 4.62129 -0.07302
3.59273 4.51593 4.62129 -0.10536
3.59423 4.78883 4.62129 0.16754
3.59573 5.09869 4.62129 0.4774
3.59723 5.19893 4.62129 0.57764
3.59873 5.10222 4.62129 0.48093
3.60023 5.14292 4.62129 0.52163
3.60173 5.0133 4.62129 0.39201
3.60323 4.90602 4.62129 0.28473
3.60473 5.18287 4.62129 0.56158
3.60623 5.40252 4.62129 0.78123
3.60773 5.01386 4.62129 0.39257
3.60923 4.99989 4.62129 0.3786
3.61073 4.62125 4.62129 -4e-05
3.61223 4.51517 4.62129 -0.10612
3.61373 4.78383 4.62129 0.16254
3.61523 4.68438 4.62129 0.06309
3.61673 4.57338 4.62129 -0.04791
3.61823 4.5185 4.62129 -0.10279
3.61973 4.68891 4.62129 0.06762
3.62123 4.3447 4.62129 -0.27659
3.62273 4.38249 4.62129 -0.2388
3.62423 4.68012 4.62129 0.05883
3.62573 4.91627 4.62129 0.29498
3.62723 4.6409 4.62129 0.01961
3.62873 4.209 4.62129 -0.41229
3.63023 4.9241 4.62129 0.30281
3.63173 5.21244 4.62129 0.59115
3.63323 4.86457 4.62129 0.24328
3.63473 4.75666 4.62129 0.13537
3.63623 4.65167 4.62129 0.03038
3.63773 4.64394 4.62129 0.02265
3.63923 4.74891 4.62129 0.12762
3.64073 4.67282 4.62129 0.05153
3.64223 4.56905 4.62129 -0.05224
3.64373 4.26966 4.62129 -0.35163
3.64523 5.08348 4.62129 0.46219
3.64673 4.84822 4.62129 0.22693
3.64823 4.89634 4.62129 0.27505
3.64973 4.75943 4.62129 0.13814
3.65123 4.3274 4.62129 -0.29389
3.65273 4.41969 4.62129 -0.2016
3.65423 4.74512 4.62129 0.12383
3.65573 4.56183 4.62129 -0.05946
3.65723 4.88365 4.62129 0.26236
