2.84636 18980.2 18683.9 296.3
2.85205 18934.4 18683.9 250.5
2.85775 18944.1 18683.9 260.2
2.86344 18988.5 18683.9 304.6
2.86913 19010.4 18683.9 326.5
2.87482 19018.1 18683.9 334.2
2.88051 18993.1 18683.9 309.2
2.8862 19047.1 18683.9 363.2
2.89189 19300.1 18683.9 616.2
2.89759 19748.8 18683.9 1064.9
2.90328 20227.8 18683.9 1543.9
2.90897 20505.8 18683.9 1821.9
2.91466 20398.7 18683.9 1714.8
2.92035 19890.5 18683.9 1206.6
2.92604 19394.4 18683.9 710.5
2.93173 19150.7 18683.9 466.8
2.93742 19011.5 18683.9 327.6
2.94312 18961.1 18683.9 277.2
2.94881 18864.1 18683.9 180.2
2.9545 18914.9 18683.9 231
2.96019 18877.6 18683.9 193.7
2.96588 18870.9 18683.9 187
2.97157 18814.6 18683.9 130.7
2.97726 18828.9 18683.9 145
2.98296 18805.6 18683.9 121.7
2.98865 18768.7 18683.9 84.8
2.99434 18750 18683.9 66.1
3.00003 18760.1 18683.9 76.2
3.00572 18741.1 18678.3 62.8
3.01141 18713.6 18669.7 43.9
3.0171 18740.7 18657.1 83.6
3.02279 18708.6 18645.4 63.2
3.02848 18742.7 18638.5 104.2
3.03418 18751.6 18634.4 117.2
3.03987 18714.5 18627.6 86.9
3.04556 18802.1 18616.7 185.4
3.05125 18744 18606.2 137.8
3.05694 18741.2 18600.5 140.7
3.06263 18725.9 18598 127.9
3.06832 18687.6 18593.3 94.3
3.07401 18666 18584.3 81.7
3.0797 18671.5 18575.2 96.3
3.0854 18700 18570.9 129.1
3.09109 18684.7 18570.3 114.4
3.09678 18658.5 18567.9 90.6
3.10247 18629.5 18561.1 68.4
3.10816 18708.1 18553.7 154.4
3.11385 18669.8 18551 118.8
3.11954 18661 18552.4 108.6
3.12523 18667.8 18552.5 115.3
3.13092 18597 18548.1 48.9
3.13662 18662.6 18542.8 119.8
3.14231 18626.1 18541.9 84.2
3.148 18623.4 18545.5 77.9
3.15369 18574.5 18548 26.5
3.15938 18599.8 18545.7 54.1
3.16507 18600.4 18541.7 58.7
3.17076 18616.4 18541.6 74.8
3.17645 18589.1 18546 43.1
3.18214 18655 18549.7 105.3
3.18783 18740.9 18548.7 192.2
3.19352 18871.1 18545.4 325.7
3.19922 18865.4 18545.6 319.8
3.20491 18759.5 18550.7 208.8
3.2106 18634.5 18555.6 78.9
3.21629 18540.4 18555.9 -15.5
3.22198 18538.8 18553.4 -14.6
3.22767 18603.5 18554.1 49.4
3.23336 18588.3 18559.8 28.5
3.23905 18591.5 18565.9 25.6
3.24474 18596 18567.5 28.5
3.25043 18602.2 18565.9 36.3
3.25612 18551.8 18567 -15.2
3.26182 18541.2 18573.3 -32.1
3.26751 18551.7 18580.6 -28.9
3.2732 18582.4 18583.6 -1.2
3.27889 18610.7 18582.9 27.8
3.28458 18587.5 18584.5 3
3.29027 18547.5 18591.5 -44
3.29596 18569.9 18600 -30.1
