patternNumber, centre, deltaCentre, fwhm, deltaFwhm, lhwhm, deltaLhwhm, rhwhm, deltaRhwhm, lshape, deltaLshape, rshape, deltaRshape, info
1.0, 9.62327, 8.00927e-05, 0.01194485, 0.0001263401085271, 0.00700186, 9.19883e-05, 0.00494299, 8.66024e-05, 1.3124, 0.0245515, 1.32588, 0.0321113, 'SS316L'
2.0, 9.62246, 7.20163e-05, 0.0122497199999999, 0.0001131318414126, 0.00672518, 8.2269e-05, 0.00552454, 7.76571e-05, 1.297, 0.0229159, 1.41685, 0.031436, 'SS316L'
3.0, 9.6218, 3.31016e-05, 0.01141095, 4.9534350478127806e-05, 0.00652746, 3.66935e-05, 0.00488349, 3.32752e-05, 1.40088, 0.00930589, 1.40059, 0.0111963, 'SS316L'
4.0, 9.62339, 4.81816e-05, 0.01147382, 7.405200425066158e-05, 0.00661952, 5.38775e-05, 0.0048543, 5.08027e-05, 1.35487, 0.0144705, 1.36516, 0.0182608, 'SS316L'
5.0, 9.62313, 3.23181e-05, 0.01009409, 4.895838701530107e-05, 0.00575979, 3.52417e-05, 0.0043343, 3.39845e-05, 1.25531, 0.0087471, 1.28129, 0.0112957, 'SS316L'
6.0, 9.62079, 4.37204e-05, 0.01147825, 6.69894655745215e-05, 0.00661178, 4.86914e-05, 0.00486647, 4.6008e-05, 1.31484, 0.0119174, 1.30962, 0.0146648, 'SS316L'
8.0, 9.62527, 3.49518e-05, 0.0116537599999999, 5.263431167527509e-05, 0.00680431, 3.86852e-05, 0.00484945, 3.56907e-05, 1.33236, 0.00904957, 1.33324, 0.0113826, 'SS316L'
9.0, 9.62479, 0.000165615, 0.0120758699999999, 0.0002681436030376, 0.00700753, 0.000198219, 0.00506834, 0.000180583, 1.41544, 0.0757136, 1.47251, 0.100429, 'SS316L'
10.0, 9.62315, 4.86326e-05, 0.0108716, 7.328140660665569e-05, 0.00626858, 5.31367e-05, 0.00460302, 5.04644e-05, 1.3387, 0.0134549, 1.32293, 0.0163475, 'SS316L'
11.0, 9.62274, 7.24462e-05, 0.01112579, 0.0001113310591793, 0.00633933, 8.14166e-05, 0.00478646, 7.59338e-05, 1.30247, 0.0218564, 1.31359, 0.026808, 'SS316L'
12.0, 9.62298, 0.000130937, 0.01108488, 0.0002098608380832, 0.00623543, 0.00015072, 0.00484945, 0.000146031, 1.20954, 0.0424819, 1.20027, 0.0502243, 'SS316L'
13.0, 9.62249, 0.000158405, 0.01156169, 0.0002547813712852, 0.00673583, 0.000188715, 0.00482586, 0.000171173, 1.23279, 0.0532444, 1.2772, 0.070815, 'SS316L'
14.0, 9.62637, 5.82004e-05, 0.01228205, 8.953771164475893e-05, 0.0067289, 6.49003e-05, 0.00555315, 6.16843e-05, 1.31154, 0.016015, 1.41238, 0.0213776, 'SS316L'
15.0, 9.62399, 4.2298e-05, 0.01142125, 6.563389052836957e-05, 0.00651782, 4.83605e-05, 0.00490343, 4.43742e-05, 1.30706, 0.0122253, 1.29459, 0.0143404, 'SS316L'
16.0, 9.62398, 0.000113526, 0.01162538, 0.0001895907999297, 0.00652638, 0.000138693, 0.005099, 0.000129263, 1.15069, 0.0367475, 1.16388, 0.0441658, 'SS316L'
17.0, 9.6241, 4.00473e-05, 0.01135099, 6.362797075579261e-05, 0.00651963, 4.70475e-05, 0.00483136, 4.28375e-05, 1.29464, 0.0129688, 1.32224, 0.0163897, 'SS316L'
18.0, 9.62245, 0.000135433, 0.0124217099999999, 0.0002209908371177, 0.00685601, 0.000160907, 0.0055657, 0.000151479, 1.21252, 0.0482033, 1.44377, 0.0795702, 'SS316L'
19.0, 9.62618, 0.00010646, 0.01190031, 0.0001703086935185, 0.0065914, 0.000123352, 0.00530891, 0.000117428, 1.22989, 0.0320799, 1.33957, 0.0448366, 'SS316L'
20.0, 9.62364, 3.23968e-05, 0.01143028, 4.99743409166144e-05, 0.00651323, 3.65522e-05, 0.00491705, 3.40789e-05, 1.29197, 0.00867981, 1.27079, 0.0100813, 'SS316L'
21.0, 9.62384, 7.13096e-05, 0.01167265, 0.0001149172026016, 0.0066462, 8.40598e-05, 0.00502645, 7.83576e-05, 1.23719, 0.0224742, 1.31815, 0.0310603, 'SS316L'
23.0, 9.62367, 7.29147e-05, 0.01159848, 0.0001170892649972, 0.00648102, 8.48824e-05, 0.00511746, 8.06528e-05, 1.2357, 0.0230609, 1.32377, 0.0315339, 'SS316L'
24.0, 9.6228, 0.000259665, 0.01175698, 0.0004236451230759, 0.00664969, 0.000307759, 0.00510729, 0.000291135, 1.22375, 0.0918, 1.28503, 0.121875, 'SS316L'
26.0, 9.62077, 6.55755e-05, 0.01152014, 0.0001006839330896, 0.00661738, 7.30865e-05, 0.00490276, 6.92504e-05, 1.31024, 0.0180852, 1.33002, 0.0231321, 'SS316L'
28.0, 9.62004, 7.16905e-05, 0.01261376, 0.0001129266573936, 0.00739511, 8.35913e-05, 0.00521865, 7.59271e-05, 1.30225, 0.0209959, 1.29163, 0.025788, 'SS316L'
