patternNumber, centre, deltaCentre, fwhm, deltaFwhm, lhwhm, deltaLhwhm, rhwhm, deltaRhwhm, lshape, deltaLshape, rshape, deltaRshape, info
2.0, 11.115, 0.000181261, 0.0233287, 0.0002974185979205, 0.0128153, 0.00021507, 0.0105134, 0.000205433, 1.22912, 0.0347079, 1.37923, 0.0503565, 'SS316L'
3.0, 11.1163, 0.00032779, 0.02423, 0.0005309508254537, 0.014045, 0.000389479, 0.010185, 0.000360853, 1.44372, 0.0785056, 1.49391, 0.103506, 'SS316L'
5.0, 11.1135, 0.000267294, 0.02553, 0.0004400847625367, 0.0149975, 0.000323029, 0.0105325, 0.000298876, 1.47374, 0.0702583, 1.50392, 0.0915025, 'SS316L'
6.0, 11.1085, 0.000437572, 0.02234901, 0.0007545392952046, 0.0124306, 0.000547942, 0.00991841, 0.000518738, 1.18042, 0.0979243, 1.37006, 0.154461, 'SS316L'
8.0, 11.1202, 0.000209012, 0.0259456, 0.0003384415691075, 0.0148687, 0.00024734, 0.0110769, 0.00023101, 1.39307, 0.0430014, 1.4054, 0.0528246, 'SS316L'
9.0, 11.1155, 0.000515254, 0.02232647, 0.0009131388962649, 0.0130746, 0.000668836, 0.00925187, 0.000621676, 1.31247, 0.149647, 1.23556, 0.163104, 'SS316L'
10.0, 11.1171, 0.000212496, 0.02322386, 0.0003390996034102, 0.0132495, 0.000247948, 0.00997436, 0.000231323, 1.29968, 0.0368345, 1.29894, 0.0441467, 'SS316L'
11.0, 11.1122, 0.000151985, 0.02194415, 0.0002428030861624, 0.012174, 0.000176775, 0.00977015, 0.000166445, 1.17192, 0.0225863, 1.31504, 0.0332688, 'SS316L'
12.0, 11.1126, 0.0002871, 0.02218875, 0.0004777934178052, 0.0123952, 0.000346697, 0.00979355, 0.000328767, 1.16936, 0.0544066, 1.23239, 0.0706747, 'SS316L'
14.0, 11.1275, 0.000244572, 0.0255658, 0.0003955190263185, 0.0144384, 0.000287916, 0.0111274, 0.000271182, 1.38209, 0.0511628, 1.44761, 0.0666574, 'SS316L'
15.0, 11.1164, 0.000283896, 0.0245292, 0.0004727365069147, 0.013929, 0.000344861, 0.0106002, 0.000323343, 1.31781, 0.064893, 1.35411, 0.0814276, 'SS316L'
16.0, 11.1144, 0.00043799, 0.0254285, 0.0007708491471131, 0.0141455, 0.000558599, 0.011283, 0.000531202, 1.29581, 0.111788, 1.51889, 0.17982, 'SS316L'
17.0, 11.119, 0.000274318, 0.0229229, 0.0004819735507774, 0.0124199, 0.000348032, 0.010503, 0.000333425, 1.17684, 0.0633032, 1.31959, 0.0893095, 'SS316L'
19.0, 11.1212, 0.000328809, 0.0225958, 0.0005526162155827, 0.0119668, 0.000397211, 0.010629, 0.000384198, 1.0732, 0.055298, 1.25359, 0.0826746, 'SS316L'
20.0, 11.1154, 0.000155244, 0.02275362, 0.0002517076004196, 0.0128153, 0.000183325, 0.00993832, 0.000172478, 1.26383, 0.0296014, 1.37763, 0.0418691, 'SS316L'
21.0, 11.1192, 0.000211969, 0.0265619, 0.0003517119406517, 0.0156263, 0.000258854, 0.0109356, 0.000238109, 1.32531, 0.0430182, 1.34435, 0.0553363, 'SS316L'
22.0, 11.1195, 0.000871753, 0.0270059, 0.0016013160225889, 0.0147027, 0.00115591, 0.0123032, 0.00110819, 1.22318, 0.207665, 1.538, 0.375226, 'SS316L'
23.0, 11.1189, 0.000286511, 0.0262832, 0.0004812481762303, 0.0152333, 0.00035221, 0.0110499, 0.000327945, 1.404, 0.0724455, 1.41743, 0.0901943, 'SS316L'
24.0, 11.1157, 0.000170995, 0.0223057799999999, 0.0002708779024302, 0.0125598, 0.000197923, 0.00974598, 0.000184936, 1.26079, 0.0276154, 1.28514, 0.0338116, 'SS316L'
28.0, 11.1072, 0.000156355, 0.0259029, 0.0002501290732342, 0.0146199, 0.000182154, 0.011283, 0.000171419, 1.3966, 0.0312145, 1.50653, 0.0432985, 'SS316L'
