patternNumber, centre, deltaCentre, fwhm, deltaFwhm, lhwhm, deltaLhwhm, rhwhm, deltaRhwhm, lshape, deltaLshape, rshape, deltaRshape, info
1.0, 12.1077, 0.000127589, 0.01719291, 0.0002024786198219, 0.00970921, 0.000147534, 0.0074837, 0.000138677, 1.33466, 0.0323434, 1.3946, 0.0418528, 'SS316L'
2.0, 12.1076, 6.30259e-05, 0.01676028, 9.966419247312446e-05, 0.00984609, 7.36554e-05, 0.00691419, 6.71404e-05, 1.24993, 0.0125544, 1.23784, 0.0153136, 'SS316L'
3.0, 12.1079, 0.00019934, 0.01744745, 0.0003259129044668, 0.0104322, 0.000241043, 0.00701525, 0.000219357, 1.2049, 0.0415057, 1.13758, 0.0470629, 'SS316L'
4.0, 12.1087, 7.30526e-05, 0.01648196, 0.0001162194459517, 0.00993252, 8.68842e-05, 0.00654944, 7.71887e-05, 1.27328, 0.0149303, 1.19526, 0.0168043, 'SS316L'
5.0, 12.1056, 9.52065e-05, 0.01755263, 0.0001522938478074, 0.0102849, 0.000111808, 0.00726773, 0.000103404, 1.26693, 0.0202225, 1.2535, 0.0246758, 'SS316L'
6.0, 12.1047, 9.8879e-05, 0.01714721, 0.0001575700097892, 0.00978819, 0.000116023, 0.00735902, 0.000106616, 1.24097, 0.0202164, 1.253, 0.0244948, 'SS316L'
8.0, 12.1101, 0.000203018, 0.01831324, 0.0003311955599234, 0.0102454, 0.000240632, 0.00806784, 0.000227567, 1.30571, 0.0556809, 1.3795, 0.0724595, 'SS316L'
9.0, 12.1074, 5.56233e-05, 0.01534764, 8.633054790976366e-05, 0.00857137, 6.32596e-05, 0.00677627, 5.87468e-05, 1.21185, 0.0104098, 1.25497, 0.0129193, 'SS316L'
10.0, 12.1078, 0.000216268, 0.01690402, 0.0003492951553586, 0.00964635, 0.000255206, 0.00725767, 0.000238489, 1.24204, 0.0505316, 1.27577, 0.0639254, 'SS316L'
11.0, 12.1041, 7.36035e-05, 0.01666634, 0.0001144442840834, 0.00937377, 8.39253e-05, 0.00729257, 7.78077e-05, 1.25063, 0.013842, 1.31554, 0.0179933, 'SS316L'
12.0, 12.1071, 0.000179491, 0.01708238, 0.0002936459675868, 0.0098315, 0.000216442, 0.00725088, 0.000198446, 1.23926, 0.0439257, 1.2533, 0.0539012, 'SS316L'
13.0, 12.1088, 0.000301592, 0.0199086, 0.0004959165522787, 0.0111342, 0.000360082, 0.0087744, 0.00034099, 1.34439, 0.0870105, 1.3768, 0.105625, 'SS316L'
14.0, 12.1137, 0.000304606, 0.0215754, 0.0004950481041525, 0.0113426, 0.000354241, 0.0102328, 0.000345812, 1.46952, 0.0985696, 1.74765, 0.151249, 'SS316L'
15.0, 12.1097, 0.00010493, 0.01694029, 0.0001688869721588, 0.00962535, 0.000123982, 0.00731494, 0.000114679, 1.21944, 0.0225718, 1.22508, 0.026877, 'SS316L'
16.0, 12.1088, 7.0634e-05, 0.0169115099999999, 0.0001114872372235, 0.00954508, 8.15313e-05, 0.00736643, 7.60398e-05, 1.30182, 0.0160587, 1.34059, 0.0200663, 'SS316L'
17.0, 12.1062, 9.06863e-05, 0.01830018, 0.000146100386122, 0.00976731, 0.000104939, 0.00853287, 0.000101652, 1.30694, 0.0236556, 1.42224, 0.030775, 'SS316L'
18.0, 12.1043, 0.000186333, 0.01914585, 0.0003062804573589, 0.0104732, 0.000221484, 0.00867265, 0.000211548, 1.35167, 0.058957, 1.45713, 0.0769249, 'SS316L'
19.0, 12.1118, 0.000161791, 0.01774964, 0.0002612987271859, 0.00986597, 0.00019043, 0.00788367, 0.000178923, 1.27565, 0.0392116, 1.34302, 0.0500321, 'SS316L'
20.0, 12.1084, 0.00011907, 0.01630518, 0.0001956597617932, 0.00951199, 0.000143897, 0.00679319, 0.000132576, 1.15881, 0.0258659, 1.23088, 0.0363166, 'SS316L'
21.0, 12.107, 6.13105e-05, 0.0164829, 9.633632368245116e-05, 0.00885553, 6.96856e-05, 0.00762737, 6.65177e-05, 1.23018, 0.012717, 1.34879, 0.0169018, 'SS316L'
22.0, 12.108, 0.000334011, 0.02045268, 0.0005883176759574, 0.0109799, 0.000422038, 0.00947278, 0.00040988, 1.3095, 0.111812, 1.50649, 0.16434, 'SS316L'
23.0, 12.1111, 0.000153383, 0.01815225, 0.0002531469112827, 0.0102832, 0.000184794, 0.00786905, 0.000173016, 1.25055, 0.0394653, 1.29766, 0.050167, 'SS316L'
24.0, 12.1073, 0.000218965, 0.01703978, 0.000356668750201, 0.00959418, 0.000261183, 0.0074456, 0.000242891, 1.18471, 0.0474142, 1.21922, 0.0586124, 'SS316L'
26.0, 12.1087, 0.000267793, 0.01924958, 0.0004429696413976, 0.0120017, 0.000331244, 0.00724788, 0.000294108, 1.44104, 0.0811254, 1.21942, 0.0776738, 'SS316L'
28.0, 12.1065, 5.37474e-05, 0.01777857, 8.510008909401917e-05, 0.0109539, 6.42034e-05, 0.00682467, 5.58565e-05, 1.31088, 0.0103254, 1.21164, 0.0116318, 'SS316L'
