patternNumber, centre, deltaCentre, fwhm, deltaFwhm, lhwhm, deltaLhwhm, rhwhm, deltaRhwhm, lshape, deltaLshape, rshape, deltaRshape, info
1.0, 7.85882, 5.04737e-05, 0.01227058, 7.781479126445048e-05, 0.00714391, 5.75448e-05, 0.00512667, 5.23807e-05, 1.41153, 0.0155556, 1.40437, 0.0190869, 'SS316L'
2.0, 7.8585, 2.94418e-05, 0.01250522, 4.495903055293786e-05, 0.00723716, 3.30175e-05, 0.00526806, 3.05149e-05, 1.38476, 0.00801037, 1.32363, 0.00898035, 'SS316L'
3.0, 7.86069, 3.88238e-05, 0.01130758, 5.802522392821935e-05, 0.00650427, 4.21746e-05, 0.00480331, 3.98526e-05, 1.39121, 0.0107593, 1.33671, 0.0122184, 'SS316L'
4.0, 7.8587, 5.52433e-05, 0.01189791, 8.575504899147339e-05, 0.00678132, 6.28193e-05, 0.00511659, 5.83752e-05, 1.3571, 0.016908, 1.33569, 0.0196768, 'SS316L'
5.0, 7.85757, 3.85103e-05, 0.0126895599999999, 5.875582266380073e-05, 0.00766938, 4.37953e-05, 0.00502018, 3.91691e-05, 1.37163, 0.00999742, 1.22635, 0.0103293, 'SS316L'
6.0, 7.85564, 0.000113073, 0.01239516, 0.0001799500545206, 0.00677697, 0.000129111, 0.00561819, 0.000125349, 1.26959, 0.0359232, 1.36204, 0.0479014, 'SS316L'
8.0, 7.86174, 3.25504e-05, 0.01233508, 4.9489398347929024e-05, 0.00720876, 3.69728e-05, 0.00512632, 3.2897e-05, 1.35186, 0.00821278, 1.31466, 0.00956091, 'SS316L'
9.0, 7.85959, 3.51334e-05, 0.01216643, 5.319143735574365e-05, 0.00708075, 3.96786e-05, 0.00508568, 3.54251e-05, 1.33006, 0.00869199, 1.30834, 0.0103114, 'SS316L'
10.0, 7.85697, 4.40163e-05, 0.01145057, 6.59975289676818e-05, 0.00624251, 4.8219e-05, 0.00520806, 4.50622e-05, 1.31364, 0.0112101, 1.31356, 0.0125602, 'SS316L'
11.0, 7.8565, 9.47064e-05, 0.01276701, 0.0001469707208154, 0.00685845, 0.000106016, 0.00590856, 0.000101789, 1.39853, 0.0323628, 1.53609, 0.0436813, 'SS316L'
12.0, 7.85706, 3.86647e-05, 0.01174359, 5.827631491721143e-05, 0.00666423, 4.31247e-05, 0.00507936, 3.91968e-05, 1.36594, 0.0106594, 1.33689, 0.0120496, 'SS316L'
13.0, 7.85689, 0.000171224, 0.01404426, 0.0002763313703979, 0.0077602, 0.000201921, 0.00628406, 0.000188645, 1.17843, 0.0448633, 1.30597, 0.0639615, 'SS316L'
14.0, 7.86327, 3.77686e-05, 0.01225354, 5.708834869612187e-05, 0.00681317, 4.13199e-05, 0.00544037, 3.93922e-05, 1.31584, 0.00916613, 1.33781, 0.0111512, 'SS316L'
15.0, 7.85962, 2.23409e-05, 0.0119239699999999, 3.3596999598922524e-05, 0.00703307, 2.52373e-05, 0.0048909, 2.21774e-05, 1.34752, 0.00541663, 1.23054, 0.00554913, 'SS316L'
16.0, 7.8588, 3.43252e-05, 0.01317981, 5.281436065777944e-05, 0.00765468, 3.90988e-05, 0.00552513, 3.55055e-05, 1.38617, 0.00922706, 1.34639, 0.01069, 'SS316L'
17.0, 7.85801, 6.83409e-05, 0.01323137, 0.0001090658155636, 0.00727895, 7.83176e-05, 0.00595242, 7.59059e-05, 1.34631, 0.0237159, 1.36167, 0.0280137, 'SS316L'
18.0, 7.8613, 9.55896e-05, 0.01388914, 0.0001545280605003, 0.00837053, 0.000114981, 0.00551861, 0.000103239, 1.4413, 0.0369536, 1.36043, 0.0424737, 'SS316L'
19.0, 7.86418, 3.75743e-05, 0.01229419, 5.733611297611655e-05, 0.00744645, 4.33175e-05, 0.00484774, 3.75636e-05, 1.47581, 0.0114734, 1.34311, 0.0121619, 'SS316L'
20.0, 7.85858, 4.00301e-05, 0.011932, 6.146163424852939e-05, 0.00662147, 4.45881e-05, 0.00531053, 4.23017e-05, 1.37557, 0.0122627, 1.35727, 0.0138287, 'SS316L'
21.0, 7.85838, 2.90942e-05, 0.01166158, 4.4397500813671934e-05, 0.00659488, 3.22523e-05, 0.0050667, 3.05111e-05, 1.32377, 0.00787851, 1.36123, 0.0100642, 'SS316L'
23.0, 7.86016, 2.5392e-05, 0.0122397199999999, 3.806053551120898e-05, 0.00721278, 2.80644e-05, 0.00502694, 2.57098e-05, 1.4317, 0.00710992, 1.33453, 0.00778038, 'SS316L'
24.0, 7.85833, 9.73418e-05, 0.01172826, 0.0001519475374759, 0.00667781, 0.000110212, 0.00505045, 0.000104601, 1.33041, 0.0300212, 1.29052, 0.0341324, 'SS316L'
26.0, 7.85874, 5.82604e-05, 0.01269633, 9.004570834526208e-05, 0.00769794, 6.75142e-05, 0.00499839, 5.95824e-05, 1.44899, 0.0173518, 1.29887, 0.0180107, 'SS316L'
28.0, 7.85749, 4.96215e-05, 0.0137244, 7.653578966973555e-05, 0.00862791, 5.76041e-05, 0.00509649, 5.03934e-05, 1.5069, 0.0154425, 1.28071, 0.0152737, 'SS316L'
