patternNumber, centre, deltaCentre, fwhm, deltaFwhm, lhwhm, deltaLhwhm, rhwhm, deltaRhwhm, lshape, deltaLshape, rshape, deltaRshape, info
1.0, 9.21197, 9.79239e-05, 0.01719476, 0.00015320524601, 0.00930002, 0.000110766, 0.00789474, 0.000105843, 1.25178, 0.01985, 1.49631, 0.0324385, 'SS316L'
2.0, 9.21531, 4.61168e-05, 0.01719179, 7.043667311422366e-05, 0.00993714, 5.14752e-05, 0.00725465, 4.80794e-05, 1.46337, 0.0109873, 1.45055, 0.0133065, 'SS316L'
3.0, 9.21515, 9.43629e-05, 0.01683898, 0.0001449999479108, 0.00932978, 0.000105271, 0.0075092, 9.97146e-05, 1.2625, 0.0173511, 1.43795, 0.0266625, 'SS316L'
4.0, 9.21532, 8.39043e-05, 0.01628786, 0.0001312434242453, 0.00922086, 9.54798e-05, 0.007067, 9.00469e-05, 1.2751, 0.0176208, 1.37502, 0.0248233, 'SS316L'
5.0, 9.21419, 5.22649e-05, 0.01549892, 8.090836619565371e-05, 0.00899503, 5.98803e-05, 0.00650389, 5.44106e-05, 1.34654, 0.0118535, 1.3193, 0.0138866, 'SS316L'
6.0, 9.21146, 7.00225e-05, 0.01620443, 0.0001082791900501, 0.00897463, 7.88876e-05, 0.0072298, 7.41696e-05, 1.29541, 0.0146167, 1.43967, 0.0211158, 'SS316L'
7.0, 9.20948, 0.000474933, 0.02166916, 0.0008534220506853, 0.0126794, 0.00062359, 0.00898976, 0.000582636, 1.81763, 0.302571, 1.98371, 0.450174, 'SS316L'
8.0, 9.21799, 6.65423e-05, 0.01674366, 0.0001030702222755, 0.00944112, 7.51083e-05, 0.00730254, 7.05848e-05, 1.27291, 0.0127346, 1.40113, 0.0186202, 'SS316L'
9.0, 9.21472, 5.85837e-05, 0.01650811, 8.939983609185198e-05, 0.00908093, 6.50082e-05, 0.00742718, 6.13699e-05, 1.32169, 0.0119104, 1.46532, 0.016978, 'SS316L'
10.0, 9.21608, 0.000114917, 0.01656663, 0.0001790910862103, 0.00940195, 0.000131178, 0.00716468, 0.000121926, 1.277, 0.0230215, 1.37666, 0.0323182, 'SS316L'
11.0, 9.21473, 3.78744e-05, 0.01694351, 5.648187296549221e-05, 0.00985075, 4.17188e-05, 0.00709276, 3.80755e-05, 1.44849, 0.00775131, 1.45587, 0.00973332, 'SS316L'
12.0, 9.21462, 5.24177e-05, 0.01638453, 7.950579178154256e-05, 0.00938498, 5.85084e-05, 0.00699955, 5.38325e-05, 1.44545, 0.0122341, 1.40584, 0.0138898, 'SS316L'
13.0, 9.21387, 0.000120075, 0.01861862, 0.0001871859828112, 0.0105076, 0.00013674, 0.00811102, 0.000127831, 1.42807, 0.0291129, 1.48673, 0.0374784, 'SS316L'
14.0, 9.22163, 9.58971e-05, 0.01780286, 0.0001496239287313, 0.010288, 0.000110268, 0.00751486, 0.000101135, 1.40925, 0.0226507, 1.37646, 0.0262367, 'SS316L'
15.0, 9.21596, 4.64059e-05, 0.0169246399999999, 7.143839811669912e-05, 0.00987854, 5.28218e-05, 0.0070461, 4.80968e-05, 1.3664, 0.00948572, 1.34313, 0.0113609, 'SS316L'
16.0, 9.2153, 3.78326e-05, 0.01699139, 5.732923369346568e-05, 0.00948231, 4.15962e-05, 0.00750908, 3.94512e-05, 1.41057, 0.00821037, 1.44397, 0.0101082, 'SS316L'
17.0, 9.21662, 2.96506e-05, 0.0169971, 4.522069939529905e-05, 0.00966502, 3.32382e-05, 0.00733208, 3.06616e-05, 1.41582, 0.00658278, 1.42337, 0.00794046, 'SS316L'
18.0, 9.21694, 0.000119001, 0.01840353, 0.0001895837740551, 0.00982743, 0.000136488, 0.0085761, 0.000131579, 1.33575, 0.031631, 1.53476, 0.0463329, 'SS316L'
19.0, 9.21941, 5.24515e-05, 0.01749451, 7.94973052269069e-05, 0.00984216, 5.81935e-05, 0.00765235, 5.41603e-05, 1.42543, 0.0111538, 1.42598, 0.0131078, 'SS316L'
20.0, 9.21703, 3.5878e-05, 0.0162925999999999, 5.4466740858344e-05, 0.00948081, 4.02953e-05, 0.00681179, 3.66458e-05, 1.41058, 0.00783636, 1.36446, 0.00900183, 'SS316L'
21.0, 9.21646, 5.55697e-05, 0.0161262, 8.624358010686941e-05, 0.00894232, 6.27894e-05, 0.00718388, 5.91223e-05, 1.3675, 0.0136258, 1.44772, 0.0177189, 'SS316L'
22.0, 9.21763, 0.000133092, 0.02141065, 0.0002108444981971, 0.0120892, 0.000152922, 0.00932145, 0.000145156, 1.6399, 0.0454289, 1.61186, 0.0518814, 'SS316L'
23.0, 9.2182, 4.35211e-05, 0.01675445, 6.673916063976231e-05, 0.00950228, 4.87353e-05, 0.00725217, 4.55959e-05, 1.37142, 0.0093918, 1.43222, 0.0123268, 'SS316L'
24.0, 9.21605, 7.69426e-05, 0.01532705, 0.0001181468018987, 0.0087665, 8.68159e-05, 0.00656055, 8.01353e-05, 1.31594, 0.016154, 1.37317, 0.021373, 'SS316L'
